cumulative_rewards,euclidian_distance,object_size,regret,time_spent
286.0,0.859375,64.0,547.333333333,1.11935091019
443.0,0.828125,64.0,390.333333333,1.25942015648
772.0,0.265625,64.0,61.3333333333,1.05651497841
799.0,0.920246743487,64.0,34.3333333333,1.12832307816
720.0,0.0606525551102,64.0,113.333333333,1.04305887222
732.0,0.803262775551,64.0,101.333333333,1.09115195274
657.0,0.610940631263,64.0,176.333333333,1.12381982803
242.0,0.046875,64.0,591.333333333,1.13745713234
561.0,0.140625,64.0,272.333333333,1.05741000175
624.0,0.0078125,64.0,209.333333333,1.03052282333
624.0,0.1640625,64.0,209.333333333,1.16371703148
587.0,0.1953125,64.0,246.333333333,1.15075588226
537.0,0.390625,64.0,296.333333333,1.20434093475
138.0,0.328125,64.0,695.333333333,1.22304201126
476.0,0.3203125,64.0,357.333333333,1.42255187035
167.0,0.703125,64.0,666.333333333,1.54038000107
298.0,0.890625,64.0,535.333333333,1.87475299835
255.0,0.5234375,64.0,578.333333333,1.21480703354
163.0,0.109375,64.0,670.333333333,1.26925897598
660.0,0.0748058617234,64.0,173.333333333,1.15212392807
126.0,0.828125,64.0,707.333333333,1.25188612938
353.0,0.609375,64.0,480.333333333,1.19955396652
774.0,0.0311560621242,64.0,59.3333333333,1.04851007462
276.0,0.0078125,64.0,557.333333333,1.01900005341
85.0,0.03125,64.0,748.333333333,1.01915884018
722.0,0.135098321643,64.0,111.333333333,1.03619194031
672.0,0.0671029559118,64.0,161.333333333,1.0698800087
554.0,0.484375,64.0,279.333333333,0.962765932083
338.0,0.5546875,64.0,495.333333333,1.07026100159
755.0,0.0454189629259,64.0,78.3333333333,1.25168895721
599.0,0.0698741232465,64.0,234.333333333,1.23534703255
51.0,0.765625,64.0,782.333333333,1.13455891609
251.0,0.578125,64.0,582.333333333,1.08707118034
772.0,0.890625,64.0,61.3333333333,1.16753387451
586.0,0.0703125,64.0,247.333333333,1.01030087471
57.0,0.828125,64.0,776.333333333,1.09424304962
399.0,0.3984375,64.0,434.333333333,1.05419301987
145.0,0.765625,64.0,688.333333333,1.10170507431
312.0,0.0390625,64.0,521.333333333,1.08643198013
677.0,0.203125,64.0,156.333333333,1.16496610641
590.0,0.0078125,64.0,243.333333333,1.18190407753
366.0,0.0859375,64.0,467.333333333,1.09991717339
501.0,0.421875,64.0,332.333333333,1.07137298584
629.0,0.0159224699399,64.0,204.333333333,1.10109400749
237.0,0.484375,64.0,596.333333333,1.07003211975
718.0,0.796875,64.0,115.333333333,1.05430793762
595.0,0.203125,64.0,238.333333333,0.962359189987
772.0,0.0694827154309,64.0,61.3333333333,1.05770802498
408.0,0.5859375,64.0,425.333333333,1.30087089539
338.0,0.0546875,64.0,495.333333333,1.0377240181
753.0,0.0120397044088,64.0,80.3333333333,1.15757894516
552.0,0.140625,64.0,281.333333333,1.0527381897
633.0,0.1171875,64.0,200.333333333,0.997557163239
671.0,0.328125,64.0,162.333333333,1.15257692337
223.0,0.296875,64.0,610.333333333,1.0304889679
187.0,0.703125,64.0,646.333333333,1.00774884224
275.0,0.0078125,64.0,558.333333333,1.08088493347
21.0,0.15625,64.0,812.333333333,1.12388014793
557.0,0.1484375,64.0,276.333333333,1.15059494972
426.0,0.8515625,64.0,407.333333333,1.1474108696
578.0,0.0703125,64.0,255.333333333,1.21938204765
530.0,0.6796875,64.0,303.333333333,1.28057813644
455.0,0.00587894539078,64.0,378.333333333,1.28437399864
514.0,0.816273171343,64.0,319.333333333,1.20618200302
