cumulative_rewards,euclidian_distance,object_size,regret,time_spent
88.0,0.875,64.0,745.333333333,2.31623005867
729.0,0.0305611222445,64.0,104.333333333,2.10142111778
532.0,0.00676352705411,64.0,301.333333333,1.99472689629
761.0,0.222695390782,64.0,72.3333333333,1.12359690666
762.0,0.226703406814,64.0,71.3333333333,1.44697904587
116.0,0.25,64.0,717.333333333,1.66776609421
623.0,0.0209168336673,64.0,210.333333333,1.37817502022
567.0,0.0625,64.0,266.333333333,1.44460296631
603.0,0.0344438877756,64.0,230.333333333,1.3393638134
267.0,0.03125,64.0,566.333333333,1.3359670639
806.0,0.0804108216433,64.0,27.3333333333,1.311439991
695.0,0.0341933867735,64.0,138.333333333,1.52337908745
310.0,0.875,64.0,523.333333333,1.33873200417
781.0,0.0774048096192,64.0,52.3333333333,1.76525688171
340.0,0.0424599198397,64.0,493.333333333,1.45669198036
479.0,0.875,64.0,354.333333333,1.67681193352
503.0,0.375,64.0,330.333333333,1.55530714989
152.0,0.0625,64.0,681.333333333,2.16825199127
451.0,0.665831663327,64.0,382.333333333,2.20901203156
137.0,0.75,64.0,696.333333333,1.30966687202
75.0,0.03125,64.0,758.333333333,1.68724489212
616.0,0.0151553106212,64.0,217.333333333,1.39764595032
705.0,0.0543587174349,64.0,128.333333333,1.15162396431
599.0,0.0593687374749,64.0,234.333333333,1.21066689491
709.0,0.00112725450902,64.0,124.333333333,1.32428097725
205.0,0.1875,64.0,628.333333333,2.09996795654
592.0,0.03125,64.0,241.333333333,1.63051700592
325.0,0.625,64.0,508.333333333,1.41208004951
529.0,0.00876753507014,64.0,304.333333333,1.39881801605
113.0,0.0625,64.0,720.333333333,1.59948396683
697.0,0.0202905811623,64.0,136.333333333,1.34868097305
258.0,0.59375,64.0,575.333333333,1.46677398682
807.0,0.0132765531062,64.0,26.3333333333,1.24467206001
590.0,0.0348196392786,64.0,243.333333333,1.29035687447
413.0,0.0625,64.0,420.333333333,1.73354697227
384.0,0.0625,64.0,449.333333333,1.30663490295
592.0,0.125,64.0,241.333333333,1.50868105888
702.0,0.25,64.0,131.333333333,1.49227404594
472.0,0.375,64.0,361.333333333,1.90941905975
333.0,0.0625,64.0,500.333333333,1.38800501823
557.0,0.0625,64.0,276.333333333,1.39669704437
274.0,0.125,64.0,559.333333333,1.19536495209
174.0,0.25,64.0,659.333333333,1.40524506569
599.0,0.125,64.0,234.333333333,1.37812304497
727.0,0.0804108216433,64.0,106.333333333,1.27587985992
463.0,0.625,64.0,370.333333333,1.16421914101
763.0,0.0155310621242,64.0,70.3333333333,1.3652639389
34.0,0.0625,64.0,799.333333333,1.17099690437
667.0,0.621367735471,64.0,166.333333333,1.23053193092
17.0,0.03125,64.0,816.333333333,1.2078359127
264.0,0.125,64.0,569.333333333,1.14613485336
46.0,0.0625,64.0,787.333333333,1.15554213524
691.0,0.576903807615,64.0,142.333333333,1.51840806007
688.0,0.125,64.0,145.333333333,1.31839585304
551.0,0.0167835671343,64.0,282.333333333,1.1211078167
599.0,0.125,64.0,234.333333333,1.13546204567
701.0,0.125,64.0,132.333333333,1.10250401497
139.0,0.0625,64.0,694.333333333,1.12103199959
739.0,0.0258016032064,64.0,94.3333333333,1.05507302284
366.0,0.375,64.0,467.333333333,1.17018699646
794.0,0.560871743487,64.0,39.3333333333,1.23658394814
594.0,0.625,64.0,239.333333333,1.39603805542
566.0,0.1875,64.0,267.333333333,1.18452906609
581.0,0.00688877755511,64.0,252.333333333,1.2417640686
196.0,0.0404559118236,64.0,637.333333333,1.28000283241
757.0,0.625,64.0,76.3333333333,1.32537198067
677.0,0.0554859719439,64.0,156.333333333,1.09735202789
649.0,0.0508517034068,64.0,184.333333333,1.26227593422
145.0,0.625,64.0,688.333333333,1.39633607864
721.0,0.0879258517034,64.0,112.333333333,1.34728693962
589.0,0.00688877755511,64.0,244.333333333,1.37216114998
345.0,0.290455911824,64.0,488.333333333,1.23307299614
468.0,0.899423847695,64.0,365.333333333,1.05450892448
289.0,0.0625,64.0,544.333333333,1.29328989983
425.0,0.000375751503006,64.0,408.333333333,1.31804180145
412.0,0.625,64.0,421.333333333,1.29084587097
186.0,0.3125,64.0,647.333333333,1.29520511627
405.0,0.62255761523,64.0,428.333333333,1.30448198318
171.0,0.84375,64.0,662.333333333,1.12313485146
330.0,0.9375,64.0,503.333333333,1.12157893181
349.0,0.0625,64.0,484.333333333,1.03352618217
758.0,0.0468436873747,64.0,75.3333333333,1.7077319622
624.0,0.0408316633267,64.0,209.333333333,1.66765403748
278.0,0.0625,64.0,555.333333333,1.18545389175
781.0,0.0253006012024,64.0,52.3333333333,1.15517711639
800.0,0.563627254509,64.0,33.3333333333,1.26356196404
103.0,0.75,64.0,730.333333333,1.39081501961
464.0,0.75,64.0,369.333333333,2.03490591049
749.0,0.0438376753507,64.0,84.3333333333,1.73983883858
286.0,0.90625,64.0,547.333333333,2.37976408005
652.0,0.0553607214429,64.0,181.333333333,1.85960483551
391.0,0.25,64.0,442.333333333,2.67672991753
280.0,0.0625,64.0,553.333333333,1.32686305046
581.0,0.125,64.0,252.333333333,1.26220798492
766.0,0.0423346693387,64.0,67.3333333333,1.28035998344
582.0,0.599323647295,64.0,251.333333333,1.32727503777
625.0,0.25,64.0,208.333333333,1.51863503456
265.0,0.375,64.0,568.333333333,1.15667104721
670.0,0.0167835671343,64.0,163.333333333,1.36462187767
587.0,0.125,64.0,246.333333333,1.26026988029
722.0,0.116983967936,64.0,111.333333333,1.56256008148
