cumulative_rewards,euclidian_distance,regret,time_spent
333.0,0.734375,500.333333333,1.13837099075
114.0,0.296875,719.333333333,1.15032196045
535.0,0.7734375,298.333333333,1.23492884636
34.0,0.671875,799.333333333,1.231580019
30.0,0.59375,803.333333333,1.15701508522
680.0,0.171875,153.333333333,1.09719896317
572.0,0.0390625,261.333333333,1.04644703865
544.0,0.265625,289.333333333,1.16833114624
547.0,0.27734375,286.333333333,1.12874984741
540.0,0.1640625,293.333333333,1.11233782768
603.0,0.0470159068136,230.333333333,1.00000190735
178.0,0.046875,655.333333333,1.02638912201
314.0,0.0078125,519.333333333,1.08181810379
792.0,0.0153118737475,41.3333333333,1.16202402115
563.0,0.023813251503,270.333333333,1.03682494164
278.0,0.0078125,555.333333333,1.0340089798
322.0,0.109375,511.333333333,1.03522992134
381.0,0.9140625,452.333333333,1.13513493538
105.0,0.515625,728.333333333,1.2031109333
237.0,0.796875,596.333333333,1.06620883942
598.0,0.0234375,235.333333333,1.08241915703
702.0,0.0704220941884,131.333333333,1.08175706863
608.0,0.1953125,225.333333333,1.11242508888
232.0,0.671875,601.333333333,1.16760802269
574.0,0.0390625,259.333333333,1.08565187454
551.0,0.140625,282.333333333,1.09469890594
316.0,0.765625,517.333333333,1.0359609127
749.0,0.209450150301,84.3333333333,1.15555214882
753.0,0.575181613226,80.3333333333,1.14978289604
461.0,0.328125,372.333333333,1.11031198502
632.0,0.0703125,201.333333333,1.03599405289
751.0,0.0975388276553,82.3333333333,1.17714095116
379.0,0.8515625,454.333333333,1.09678697586
139.0,0.859375,694.333333333,1.14686608315
319.0,0.9765625,514.333333333,1.16478610039
771.0,0.337080410822,62.3333333333,1.12776303291
51.0,0.09375,782.333333333,1.06657600403
501.0,0.0234375,332.333333333,1.09679508209
611.0,0.0859375,222.333333333,1.12347102165
223.0,0.265625,610.333333333,1.17405509949
681.0,0.149705661323,152.333333333,1.12417316437
741.0,0.0473603456914,92.3333333333,1.13432717323
215.0,0.078125,618.333333333,1.05839920044
629.0,0.0487381012024,204.333333333,1.08866715431
699.0,0.0480648797595,134.333333333,1.14761805534
