cumulative_rewards,euclidian_distance,regret,time_spent
692.0,0.0814128256513,141.333333333,1.09581112862
583.0,0.00475951903808,250.333333333,1.28072595596
424.0,0.25,409.333333333,0.991157054901
837.0,0.0792835671343,-3.66666666667,1.11893796921
718.0,0.25,115.333333333,1.06023001671
632.0,0.615731462926,201.333333333,1.07940196991
498.0,0.125,335.333333333,1.01723504066
531.0,0.375,302.333333333,0.980662107468
551.0,0.0625,282.333333333,1.16397380829
40.0,0.53125,793.333333333,1.1882250309
309.0,0.875,524.333333333,1.04140615463
631.0,0.375,202.333333333,0.989276170731
571.0,0.125,262.333333333,0.976190090179
755.0,0.0939378757515,78.3333333333,0.987972021103
564.0,0.625,269.333333333,1.1080801487
214.0,0.0625,619.333333333,1.03789997101
627.0,0.0625,206.333333333,1.06689882278
461.0,0.0625,372.333333333,1.12899804115
71.0,0.84375,762.333333333,1.19486999512
802.0,0.0358216432866,31.3333333333,1.20644497871
665.0,0.625,168.333333333,1.25356698036
489.0,0.75,344.333333333,1.05324792862
758.0,0.0338176352705,75.3333333333,1.08419704437
390.0,0.6875,443.333333333,1.03279709816
383.0,0.625,450.333333333,1.70852589607
34.0,0.015625,799.333333333,2.19357299805
585.0,0.125,248.333333333,1.36642694473
452.0,0.125,381.333333333,1.52259683609
627.0,0.625,206.333333333,1.13362121582
606.0,0.75,227.333333333,1.08204507828
245.0,0.25,588.333333333,1.47729706764
501.0,0.625,332.333333333,1.36342406273
240.0,0.0625,593.333333333,1.54951000214
462.0,0.00576152304609,371.333333333,1.56146478653
65.0,0.0625,768.333333333,2.09301495552
506.0,0.875,327.333333333,1.23152089119
585.0,0.125,248.333333333,1.22733306885
434.0,0.0625,399.333333333,1.34702992439
655.0,0.0448396793587,178.333333333,1.21053791046
697.0,0.00726452905812,136.333333333,1.19723296165
782.0,0.375,51.3333333333,1.06632900238
640.0,0.00112725450902,193.333333333,1.08989596367
592.0,0.125,241.333333333,1.27595305443
469.0,0.625,364.333333333,1.15927195549
579.0,0.0625,254.333333333,1.08011388779
783.0,0.802855711423,50.3333333333,1.14289402962
780.0,0.064378757515,53.3333333333,1.1728079319
624.0,0.0593687374749,209.333333333,1.01488184929
173.0,0.9375,660.333333333,1.10523414612
352.0,0.9375,481.333333333,1.18148803711
236.0,0.71875,597.333333333,1.09250998497
674.0,0.0293086172345,159.333333333,1.179033041
712.0,0.25,121.333333333,1.42351913452
499.0,0.0159068136273,334.333333333,1.1913728714
534.0,0.625,299.333333333,1.22450995445
791.0,0.0242985971944,42.3333333333,1.13882303238
259.0,0.0625,574.333333333,1.15185689926
609.0,0.0268036072144,224.333333333,1.06746315956
332.0,0.0625,501.333333333,1.11462497711
521.0,0.0625,312.333333333,1.30854582787
739.0,0.121993987976,94.3333333333,1.22387099266
436.0,0.25,397.333333333,1.1217610836
719.0,0.375,114.333333333,1.15752387047
381.0,0.602955911824,452.333333333,1.61426591873
512.0,0.00275551102204,321.333333333,1.58650803566
634.0,0.625,199.333333333,1.41704487801
464.0,0.375,369.333333333,1.34419512749
471.0,0.0625,362.333333333,1.18668317795
754.0,0.00175350701403,79.3333333333,1.11567497253
238.0,0.03125,595.333333333,1.07558393478
574.0,0.375,259.333333333,1.06545591354
656.0,0.00876753507014,177.333333333,1.20289897919
22.0,0.03125,811.333333333,1.36184000969
559.0,0.0152805611222,274.333333333,1.15723896027
753.0,0.592434869739,80.3333333333,1.1572060585
756.0,0.0358216432866,77.3333333333,1.0182800293
98.0,0.03125,735.333333333,1.05043697357
599.0,0.0392034068136,234.333333333,1.13373017311
262.0,0.0625,571.333333333,1.18445110321
202.0,0.03125,631.333333333,1.07763600349
611.0,0.125,222.333333333,1.02024197578
171.0,0.625,662.333333333,1.21321392059
358.0,0.625,475.333333333,1.20700097084
451.0,0.8125,382.333333333,1.32246494293
393.0,0.34493987976,440.333333333,1.16415905952
132.0,0.0625,701.333333333,1.16178011894
584.0,0.125,249.333333333,1.01301407814
221.0,0.5625,612.333333333,1.15185308456
681.0,0.0249248496994,152.333333333,1.02430510521
122.0,0.40625,711.333333333,1.10243201256
492.0,0.0625,341.333333333,1.12190198898
571.0,0.75,262.333333333,1.15894508362
358.0,0.875,475.333333333,1.12276697159
736.0,0.314879759519,97.3333333333,1.29277396202
815.0,0.150551102204,18.3333333333,1.16174697876
735.0,0.0543587174349,98.3333333333,1.17655515671
65.0,0.9375,768.333333333,1.15914702415
599.0,0.125,234.333333333,1.07634496689
347.0,0.0625,486.333333333,1.11941003799
757.0,0.375,76.3333333333,1.15568494797
508.0,0.625,325.333333333,1.38007712364
681.0,0.0268036072144,152.333333333,1.05626606941
627.0,0.125,206.333333333,1.28349494934
594.0,0.00876753507014,239.333333333,1.11695981026
213.0,0.875,620.333333333,1.07129597664
697.0,0.0289328657315,136.333333333,1.04483985901
587.0,0.0625,246.333333333,1.12966299057
683.0,0.134519038076,150.333333333,1.1607260704
666.0,0.120991983968,167.333333333,1.14311218262
61.0,0.6875,772.333333333,1.08534502983
632.0,0.125,201.333333333,0.980383872986
524.0,0.0625,309.333333333,1.01336598396
743.0,0.0899298597194,90.3333333333,1.15870499611
450.0,0.0268036072144,383.333333333,1.0734641552
285.0,0.875,548.333333333,1.30090093613
438.0,0.00563627254509,395.333333333,1.15788292885
605.0,0.125,228.333333333,1.0469288826
287.0,0.0625,546.333333333,1.05612182617
373.0,0.46875,460.333333333,1.30457210541
702.0,0.0172845691383,131.333333333,1.03758382797
524.0,0.625,309.333333333,1.1275601387
613.0,0.0625,220.333333333,1.02045202255
90.0,0.9375,743.333333333,1.07996106148
590.0,0.0625,243.333333333,1.07966089249
344.0,0.03125,489.333333333,1.19298505783
555.0,0.30247995992,278.333333333,1.15860009193
473.0,0.75,360.333333333,1.16867017746
498.0,0.574899799599,335.333333333,1.00541210175
746.0,0.875,87.3333333333,1.21536612511
418.0,0.25,415.333333333,1.14222884178
596.0,0.125,237.333333333,1.10506606102
197.0,0.125,636.333333333,1.19804215431
458.0,0.1875,375.333333333,1.11787295341
777.0,0.0333166332665,56.3333333333,1.19634199142
502.0,0.0625,331.333333333,1.04804801941
720.0,0.125,113.333333333,1.21802616119
616.0,0.125,217.333333333,1.10247588158
492.0,0.25,341.333333333,1.29342699051
619.0,0.125,214.333333333,1.07442808151
148.0,0.25,685.333333333,1.04927301407
755.0,0.0212925851703,78.3333333333,1.06643414497
637.0,0.00125250501002,196.333333333,1.03898906708
704.0,0.0399549098196,129.333333333,1.12537312508
73.0,0.8125,760.333333333,1.16841197014
740.0,0.0258016032064,93.3333333333,1.16434192657
320.0,0.03125,513.333333333,1.26683998108
817.0,0.100450901804,16.3333333333,1.05632805824
463.0,0.6875,370.333333333,1.36932301521
591.0,0.0573647294589,242.333333333,1.02215313911
599.0,0.0167835671343,234.333333333,1.04391098022
283.0,0.0625,550.333333333,0.994704961777
467.0,0.875,366.333333333,1.08918190002
330.0,0.0063877755511,503.333333333,1.01123309135
589.0,0.0954408817635,244.333333333,0.958636045456
719.0,0.0108967935872,114.333333333,1.02700281143
91.0,0.03125,742.333333333,0.981034040451
773.0,0.0293086172345,60.3333333333,1.07491803169
490.0,0.00688877755511,343.333333333,1.1381251812
671.0,0.0388276553106,162.333333333,1.21944308281
498.0,0.3125,335.333333333,1.2798910141
781.0,0.116482965932,52.3333333333,1.08289909363
731.0,0.0125250501002,102.333333333,1.23053193092
608.0,0.125,225.333333333,1.17321014404
370.0,0.0625,463.333333333,1.22491788864
352.0,0.0625,481.333333333,1.11715316772
360.0,0.25,473.333333333,1.10691308975
698.0,0.0065130260521,135.333333333,1.1975300312
169.0,0.0625,664.333333333,2.06204199791
68.0,0.03125,765.333333333,1.2195930481
364.0,0.766407815631,469.333333333,1.07327103615
729.0,0.0189128256513,104.333333333,1.66088104248
